'sample interval','wrist_ppg'
'0.00390625 sec','mV'
0,1166.400
1,1179.777
2,1192.271
3,1203.308
4,1212.535
5,1219.907
6,1225.382
7,1229.179
8,1231.651
9,1233.373
10,1234.874
11,1236.640
12,1238.891
13,1241.849
14,1245.690
15,1250.590
16,1256.771
17,1264.497
18,1274.077
19,1285.644
20,1299.286
21,1314.959
22,1332.618
23,1351.999
24,1372.661
25,1394.073
26,1415.838
27,1437.603
28,1458.971
29,1479.411
30,1498.263
31,1514.818
32,1528.284
33,1538.129
34,1543.912
35,1545.325
36,1542.190
37,1534.155
38,1521.087
39,1502.678
40,1478.661
41,1448.684
42,1412.571
43,1370.409
44,1322.817
45,1270.678
46,1215.095
47,1157.393
48,1098.853
49,1040.709
50,983.979
51,929.279
52,876.963
53,827.031
54,779.395
55,734.011
56,691.098
57,651.012
58,614.104
59,580.639
60,550.707
61,524.350
62,501.702
63,482.762
64,467.354
65,455.170
66,446.119
67,440.027
68,436.848
69,436.539
70,439.232
71,444.971
72,454.022
73,466.295
74,481.703
75,500.024
76,521.083
77,544.438
78,569.646
79,596.312
80,624.258
81,653.352
82,683.417
83,714.276
84,745.931
85,778.556
86,812.286
87,847.384
88,883.983
89,922.259
90,961.904
91,1002.300
92,1042.652
93,1082.253
94,1120.441
95,1156.864
96,1191.299
97,1223.616
98,1253.460
99,1280.435
100,1304.363
101,1324.936
102,1342.154
103,1355.928
104,1366.303
105,1373.367
106,1377.120
107,1377.649
108,1375.177
109,1370.056
110,1362.551
111,1352.882
112,1341.006
113,1326.791
114,1310.191
115,1291.428
116,1270.722
117,1248.295
118,1224.278
119,1198.849
120,1172.227
121,1144.811
122,1116.821
123,1088.831
124,1061.282
125,1034.705
126,1009.540
127,986.142
128,964.774
129,945.614
130,928.881
131,914.798
132,903.540
133,895.329
134,890.516
135,889.457
136,892.547
137,900.185
138,912.591
139,929.985
140,952.368
141,979.564
142,1011.351
143,1047.376
144,1087.065
145,1129.580
146,1173.993
147,1219.245
148,1264.276
149,1308.027
150,1349.704
151,1388.422
152,1423.299
153,1453.452
154,1477.910
155,1496.144
156,1507.931
157,1513.626
158,1513.715
159,1508.858
160,1499.940
161,1488.109
162,1474.599
163,1460.604
164,1447.227
165,1434.998
166,1424.182
167,1414.557
168,1405.816
169,1397.428
170,1389.172
171,1380.828
172,1372.352
173,1363.478
174,1353.986
175,1343.832
176,1333.148
177,1322.376
178,1312.177
179,1303.259
180,1296.240
181,1291.737
182,1290.059
183,1291.472
184,1296.063
185,1303.657
186,1313.988
187,1326.791
188,1341.845
189,1359.019
190,1378.047
191,1398.576
192,1420.208
193,1442.680
194,1465.946
195,1489.963
196,1514.730
197,1540.248
198,1566.428
199,1593.358
200,1620.995
201,1649.118
202,1677.196
203,1704.745
204,1731.189
205,1756.354
206,1780.106
207,1802.666
208,1824.166
209,1844.651
210,1864.208
211,1882.795
212,1900.543
213,1917.407
214,1933.389
215,1948.444
216,1962.306
217,1974.888
218,1985.970
219,1995.285
220,2002.614
221,2007.779
222,2010.649
223,2011.178
224,2009.280
225,2005.174
226,1998.949
227,1990.782
228,1980.848
229,1969.370
230,1956.479
231,1942.439
232,1927.208
233,1910.873
234,1893.391
235,1875.025
236,1855.909
237,1836.351
238,1816.749
239,1797.412
240,1778.561
241,1760.372
242,1742.845
243,1725.892
244,1709.380
245,1693.354
246,1677.814
247,1662.715
248,1648.102
249,1633.887
250,1619.891
251,1605.852
252,1591.460
253,1576.538
254,1561.174
255,1545.546
256,1529.873
257,1514.421
258,1499.455
259,1485.107
260,1471.641
261,1459.236
262,1448.154
263,1438.530
264,1430.363
265,1423.740
266,1418.575
267,1414.867
268,1412.571
269,1411.688
270,1412.173
271,1414.204
272,1417.604
273,1422.151
274,1427.449
275,1433.276
276,1439.457
277,1445.682
278,1451.421
279,1456.145
280,1459.191
281,1459.942
282,1457.955
283,1452.834
284,1444.358
285,1432.349
286,1416.765
287,1397.869
288,1376.193
289,1352.485
290,1327.497
291,1302.200
292,1277.389
293,1253.813
294,1231.916
295,1212.181
296,1194.964
297,1180.439
298,1168.607
299,1159.512
300,1152.978
301,1148.564
302,1145.826
303,1144.061
304,1142.559
305,1140.705
306,1138.012
307,1134.127
308,1128.785
309,1121.986
310,1113.995
311,1105.254
312,1096.160
313,1087.242
314,1079.030
315,1072.055
316,1067.066
317,1064.638
318,1065.300
319,1069.538
320,1077.750
321,1090.111
322,1106.711
323,1127.461
324,1151.919
325,1179.732
326,1210.548
327,1243.968
328,1279.640
329,1316.945
330,1355.134
331,1393.234
332,1430.407
333,1465.902
334,1499.234
335,1530.005
336,1557.731
337,1581.880
338,1601.791
339,1616.934
340,1626.823
341,1631.105
342,1629.472
343,1621.834
344,1608.413
345,1589.694
346,1566.693
347,1540.733
348,1513.450
349,1486.387
350,1461.399
351,1439.987
352,1423.564
353,1412.968
354,1408.509
355,1409.745
356,1415.661
357,1424.976
358,1436.278
359,1448.508
360,1461.178
361,1474.069
362,1487.446
363,1502.104
364,1519.012
365,1539.541
366,1564.750
367,1595.433
368,1631.723
369,1673.355
370,1719.402
371,1768.627
372,1819.707
373,1871.184
374,1921.866
375,1970.385
376,2015.461
377,2056.166
378,2091.705
379,2121.638
380,2145.698
381,2163.888
382,2176.161
383,2182.651
384,2183.534
385,2178.986
386,2169.185
387,2154.484
388,2135.059
389,2111.219
390,2083.405
391,2051.971
392,2017.315
393,1980.010
394,1940.497
395,1899.306
396,1856.836
397,1813.129
398,1768.230
399,1722.139
400,1674.724
401,1625.896
402,1575.346
403,1522.942
404,1468.639
405,1412.350
406,1354.339
407,1294.827
408,1234.300
409,1173.331
410,1112.627
411,1053.159
412,996.075
413,943.141
414,896.521
415,858.730
416,831.843
417,817.230
418,815.288
419,825.354
420,846.147
421,875.727
422,911.884
423,952.059
424,993.647
425,1034.352
426,1072.099
427,1105.387
428,1133.421
429,1155.804
430,1172.845
431,1185.074
432,1193.374
433,1199.025
434,1203.440
435,1208.031
436,1213.991
437,1222.291
438,1233.814
439,1248.869
440,1267.632
441,1290.147
442,1316.372
443,1346.260
444,1379.724
