'sample interval','wrist_ppg'
'0.00390625 sec','mV'
0,1388.412
1,1388.178
2,1387.805
3,1387.440
4,1387.149
5,1386.940
6,1386.797
7,1386.702
8,1386.715
9,1386.924
10,1387.346
11,1387.912
12,1388.576
13,1389.297
14,1390.043
15,1390.773
16,1391.412
17,1391.859
18,1391.945
19,1391.527
20,1390.568
21,1389.063
22,1387.034
23,1384.591
24,1382.000
25,1379.557
26,1377.503
27,1375.966
28,1374.950
29,1374.433
30,1374.421
31,1374.929
32,1375.913
33,1377.241
34,1378.688
35,1380.020
36,1381.127
37,1382.009
38,1382.689
39,1383.103
40,1383.136
41,1382.681
42,1381.804
43,1380.734
44,1379.758
45,1379.041
46,1378.569
47,1378.159
48,1377.598
49,1376.790
50,1375.851
51,1374.978
52,1374.249
53,1373.613
54,1372.941
55,1372.170
56,1371.330
57,1370.481
58,1369.686
59,1369.010
60,1368.522
61,1368.255
62,1368.177
63,1368.186
64,1368.182
65,1368.100
66,1367.997
67,1367.973
68,1368.067
69,1368.251
70,1368.522
71,1368.895
72,1369.387
73,1369.948
74,1370.477
75,1370.854
76,1371.039
77,1371.067
78,1370.981
79,1370.817
80,1370.658
81,1370.530
82,1370.428
83,1370.326
84,1370.170
85,1369.903
86,1369.567
87,1369.268
88,1369.071
89,1368.956
90,1368.870
91,1368.731
92,1368.456
93,1367.993
94,1367.345
95,1366.542
96,1365.640
97,1364.714
98,1363.799
99,1362.861
100,1361.889
101,1360.922
102,1360.090
103,1359.635
104,1359.794
105,1360.655
106,1362.102
107,1363.910
108,1365.816
109,1367.599
110,1369.088
111,1370.182
112,1370.879
113,1371.268
114,1371.445
115,1371.506
116,1371.527
117,1371.563
118,1371.600
119,1371.555
120,1371.338
121,1370.961
122,1370.535
123,1370.166
124,1369.899
125,1369.707
126,1369.510
127,1369.194
128,1368.760
129,1368.305
130,1367.891
131,1367.517
132,1367.194
133,1366.993
134,1367.017
135,1367.304
136,1367.821
137,1368.469
138,1369.092
139,1369.514
140,1369.620
141,1369.424
142,1369.042
143,1368.596
144,1368.194
145,1367.899
146,1367.731
147,1367.599
148,1367.362
149,1366.898
150,1366.124
151,1364.992
152,1363.656
153,1362.463
154,1361.713
155,1361.442
156,1361.442
157,1361.455
158,1361.393
159,1361.336
160,1361.291
161,1361.147
162,1360.827
163,1360.389
164,1359.979
165,1359.741
166,1359.721
